"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Darmanis","Seurat","SC3","estimated",100,100,0.462189640877951,FALSE
"Darmanis","Variance","SC3","estimated",100,100,0.432039968249521,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",200,200,0.450630604709155,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",200,200,0.343388449107687,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",200,200,0.376133001455878,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",200,200,0.347678060738118,FALSE
"Darmanis","Variance","Refined Louvain","estimated",200,200,0.37774770149811,FALSE
"Darmanis","DIFS","SC3","estimated",200,200,0.463912108908526,FALSE
"Darmanis","FEAST","SC3","estimated",200,200,0.507129766215189,FALSE
"Darmanis","GateOnly","SC3","estimated",200,200,0.428156485431606,FALSE
"Darmanis","Seurat","SC3","estimated",200,200,0.471199000473913,FALSE
"Darmanis","Variance","SC3","estimated",200,200,0.431407167056354,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",300,300,0.39122590447251,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",300,300,0.411097936921982,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",300,300,0.38935022284776,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",300,300,0.414964381752135,FALSE
"Darmanis","Variance","Refined Louvain","estimated",300,300,0.370576841309586,FALSE
"Darmanis","DIFS","SC3","estimated",300,300,0.532228181374939,FALSE
"Darmanis","FEAST","SC3","estimated",300,300,0.580316742081448,FALSE
"Darmanis","GateOnly","SC3","estimated",300,300,0.413334577520646,FALSE
"Darmanis","Seurat","SC3","estimated",300,300,0.529217148182665,FALSE
"Darmanis","Variance","SC3","estimated",300,300,0.476561757155082,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",500,500,0.429541999239833,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",500,500,0.433007448789572,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",500,500,0.421977200523267,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",500,500,0.408121391420528,FALSE
"Darmanis","Variance","Refined Louvain","estimated",500,500,0.392941612948106,FALSE
"Darmanis","DIFS","SC3","estimated",500,500,0.455286093217128,FALSE
"Darmanis","FEAST","SC3","estimated",500,500,0.684506642711929,FALSE
"Darmanis","GateOnly","SC3","estimated",500,500,0.394385026737968,FALSE
"Darmanis","Seurat","SC3","estimated",500,500,0.488050817341862,FALSE
"Darmanis","Variance","SC3","estimated",500,500,0.387623832104794,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",750,750,0.42494914612801,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",750,750,0.373573688752517,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",750,750,0.403187362714399,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",750,750,0.38498687171793,FALSE
"Darmanis","Variance","Refined Louvain","estimated",750,750,0.372388025277919,FALSE
"Darmanis","DIFS","SC3","estimated",750,750,0.595139844108207,FALSE
"Darmanis","FEAST","SC3","estimated",750,750,0.704231156699331,FALSE
"Darmanis","GateOnly","SC3","estimated",750,750,0.401211097028588,FALSE
"Darmanis","Seurat","SC3","estimated",750,750,0.421142831371488,FALSE
"Darmanis","Variance","SC3","estimated",750,750,0.451010077115958,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",1000,1000,0.37211986886457,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",1000,1000,0.379982243820382,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",1000,1000,0.431780562780799,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",1000,1000,0.376854038734058,FALSE
"Darmanis","Variance","Refined Louvain","estimated",1000,1000,0.372077800635871,FALSE
"Darmanis","DIFS","SC3","estimated",1000,1000,0.545878989995236,FALSE
"Darmanis","FEAST","SC3","estimated",1000,1000,0.675899112564222,FALSE
"Darmanis","GateOnly","SC3","estimated",1000,1000,0.376790147030743,FALSE
"Darmanis","Seurat","SC3","estimated",1000,1000,0.429990884229717,FALSE
"Darmanis","Variance","SC3","estimated",1000,1000,0.464135817024287,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",1500,1500,0.379181470031837,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",1500,1500,0.367348872465416,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",1500,1500,0.442261904761905,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",1500,1500,0.405759162303665,FALSE
"Darmanis","Variance","Refined Louvain","estimated",1500,1500,0.404950765864333,FALSE
"Darmanis","DIFS","SC3","estimated",1500,1500,0.548589785987622,FALSE
"Darmanis","FEAST","SC3","estimated",1500,1500,0.626755882483272,FALSE
"Darmanis","GateOnly","SC3","estimated",1500,1500,0.41265690376569,FALSE
"Darmanis","Seurat","SC3","estimated",1500,1500,0.435002275830678,FALSE
"Darmanis","Variance","SC3","estimated",1500,1500,0.411436021605513,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",2500,2500,0.382705479452055,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",2500,2500,0.366780870136575,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",2500,2346,0.397679130594953,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",2500,2500,0.423033707865169,FALSE
"Darmanis","Variance","Refined Louvain","estimated",2500,2500,0.376692389445959,FALSE
"Darmanis","DIFS","SC3","estimated",2500,2500,0.396726862302483,FALSE
"Darmanis","FEAST","SC3","estimated",2500,2500,0.450843862399705,FALSE
"Darmanis","GateOnly","SC3","estimated",2500,2346,0.426468533097312,FALSE
"Darmanis","Seurat","SC3","estimated",2500,2500,0.446729571271528,FALSE
"Darmanis","Variance","SC3","estimated",2500,2500,0.431569598952977,FALSE
"Darmanis","DIFS","Refined Louvain","true",0,2346,0.478700392883945,FALSE
"Darmanis","FEAST","Refined Louvain","true",0,2346,0.414331413947537,FALSE
"Darmanis","GateOnly","Refined Louvain","true",0,2346,0.484944393160139,FALSE
"Darmanis","Seurat","Refined Louvain","true",0,2346,0.481744291059218,FALSE
"Darmanis","Variance","Refined Louvain","true",0,2346,0.476100004317976,FALSE
"Darmanis","DIFS","SC3","true",0,2346,0.684337843378434,FALSE
"Darmanis","FEAST","SC3","true",0,2346,0.695759233926129,FALSE
"Darmanis","GateOnly","SC3","true",0,2346,0.577093638069248,FALSE
"Darmanis","Seurat","SC3","true",0,2346,0.614596003475239,FALSE
"Darmanis","Variance","SC3","true",0,2346,0.598990785432207,FALSE
"Darmanis","DIFS","Refined Louvain","true",100,100,0.487592454812027,FALSE
"Darmanis","FEAST","Refined Louvain","true",100,100,0.276082659478886,FALSE
"Darmanis","GateOnly","Refined Louvain","true",100,100,0.358622777801808,FALSE
"Darmanis","Seurat","Refined Louvain","true",100,100,0.424362766948981,FALSE
"Darmanis","Variance","Refined Louvain","true",100,100,0.60100335987481,FALSE
"Darmanis","DIFS","SC3","true",100,100,0.506180524677635,FALSE
"Darmanis","FEAST","SC3","true",100,100,0.298958370619608,FALSE
"Darmanis","GateOnly","SC3","true",100,100,0.494120687427316,FALSE
"Darmanis","Seurat","SC3","true",100,100,0.445998633385586,FALSE
"Darmanis","Variance","SC3","true",100,100,0.517374869062258,FALSE
"Darmanis","DIFS","Refined Louvain","true",200,200,0.445425217313379,FALSE
"Darmanis","FEAST","Refined Louvain","true",200,200,0.576124643405749,FALSE
"Darmanis","GateOnly","Refined Louvain","true",200,200,0.439440790906319,FALSE
"Darmanis","Seurat","Refined Louvain","true",200,200,0.359167924844825,FALSE
"Darmanis","Variance","Refined Louvain","true",200,200,0.591140159767611,FALSE
"Darmanis","DIFS","SC3","true",200,200,0.575684131670559,FALSE
"Darmanis","FEAST","SC3","true",200,200,0.562640449438202,FALSE
"Darmanis","GateOnly","SC3","true",200,200,0.453248052908672,FALSE
"Darmanis","Seurat","SC3","true",200,200,0.488563319141832,FALSE
"Darmanis","Variance","SC3","true",200,200,0.538341632387963,FALSE
"Darmanis","DIFS","Refined Louvain","true",300,300,0.517491601343785,FALSE
"Darmanis","FEAST","Refined Louvain","true",300,300,0.607099418892743,FALSE
"Darmanis","GateOnly","Refined Louvain","true",300,300,0.461250598320352,FALSE
"Darmanis","Seurat","Refined Louvain","true",300,300,0.421843599825251,FALSE
"Darmanis","Variance","Refined Louvain","true",300,300,0.485672720860518,FALSE
"Darmanis","DIFS","SC3","true",300,300,0.58908058921573,FALSE
"Darmanis","FEAST","SC3","true",300,300,0.642398381136724,FALSE
"Darmanis","GateOnly","SC3","true",300,300,0.55472558930089,FALSE
"Darmanis","Seurat","SC3","true",300,300,0.518502394427514,FALSE
"Darmanis","Variance","SC3","true",300,300,0.549720420487587,FALSE
"Darmanis","DIFS","Refined Louvain","true",500,500,0.455501582066937,FALSE
"Darmanis","FEAST","Refined Louvain","true",500,500,0.580443241414312,FALSE
"Darmanis","GateOnly","Refined Louvain","true",500,500,0.439934221914488,FALSE
"Darmanis","Seurat","Refined Louvain","true",500,500,0.525922013907226,FALSE
"Darmanis","Variance","Refined Louvain","true",500,500,0.48562412342216,FALSE
"Darmanis","DIFS","SC3","true",500,500,0.566958102493075,FALSE
"Darmanis","FEAST","SC3","true",500,500,0.67704280155642,FALSE
"Darmanis","GateOnly","SC3","true",500,500,0.561739208552307,FALSE
"Darmanis","Seurat","SC3","true",500,500,0.557379201680672,FALSE
"Darmanis","Variance","SC3","true",500,500,0.533344638996057,FALSE
"Darmanis","DIFS","Refined Louvain","true",750,750,0.498828226716431,FALSE
"Darmanis","FEAST","Refined Louvain","true",750,750,0.522985074626866,FALSE
"Darmanis","GateOnly","Refined Louvain","true",750,750,0.416859172732424,FALSE
"Darmanis","Seurat","Refined Louvain","true",750,750,0.524925004411505,FALSE
"Darmanis","Variance","Refined Louvain","true",750,750,0.474583660301683,FALSE
"Darmanis","DIFS","SC3","true",750,750,0.579975473020322,FALSE
"Darmanis","FEAST","SC3","true",750,750,0.695231601823838,FALSE
"Darmanis","GateOnly","SC3","true",750,750,0.535100012740476,FALSE
"Darmanis","Seurat","SC3","true",750,750,0.568095949389333,FALSE
"Darmanis","Variance","SC3","true",750,750,0.578488245300301,FALSE
"Darmanis","DIFS","Refined Louvain","true",1000,1000,0.468839679616225,FALSE
"Darmanis","FEAST","Refined Louvain","true",1000,1000,0.559821469235324,FALSE
"Darmanis","GateOnly","Refined Louvain","true",1000,1000,0.415128104403998,FALSE
"Darmanis","Seurat","Refined Louvain","true",1000,1000,0.695764378174668,FALSE
"Darmanis","Variance","Refined Louvain","true",1000,1000,0.466582045782816,FALSE
"Darmanis","DIFS","SC3","true",1000,1000,0.575086355785838,FALSE
"Darmanis","FEAST","SC3","true",1000,1000,0.691964285714286,FALSE
"Darmanis","GateOnly","SC3","true",1000,1000,0.555747005673461,FALSE
"Darmanis","Seurat","SC3","true",1000,1000,0.568666988120808,FALSE
"Darmanis","Variance","SC3","true",1000,1000,0.598112465591821,FALSE
"Darmanis","DIFS","Refined Louvain","true",1500,1500,0.474321557694821,FALSE
"Darmanis","FEAST","Refined Louvain","true",1500,1500,0.491222570532915,FALSE
"Darmanis","GateOnly","Refined Louvain","true",1500,1500,0.469833119383825,FALSE
"Darmanis","Seurat","Refined Louvain","true",1500,1500,0.47929119504854,FALSE
"Darmanis","Variance","Refined Louvain","true",1500,1500,0.583884917483011,FALSE
"Darmanis","DIFS","SC3","true",1500,1500,0.682773537934131,FALSE
"Darmanis","FEAST","SC3","true",1500,1500,0.712893184796854,FALSE
"Darmanis","GateOnly","SC3","true",1500,1500,0.573314713723499,FALSE
"Darmanis","Seurat","SC3","true",1500,1500,0.556151798746458,FALSE
"Darmanis","Variance","SC3","true",1500,1500,0.601255266853933,FALSE
"Darmanis","DIFS","Refined Louvain","true",2500,2500,0.480206540447504,FALSE
"Darmanis","FEAST","Refined Louvain","true",2500,2500,0.410574692895799,FALSE
"Darmanis","GateOnly","Refined Louvain","true",2500,2346,0.484944393160139,FALSE
"Darmanis","Seurat","Refined Louvain","true",2500,2500,0.444841408156152,FALSE
"Darmanis","Variance","Refined Louvain","true",2500,2500,0.576196825669921,FALSE
"Darmanis","DIFS","SC3","true",2500,2500,0.666280879594525,FALSE
"Darmanis","FEAST","SC3","true",2500,2500,0.695759233926129,FALSE
"Darmanis","GateOnly","SC3","true",2500,2346,0.577093638069248,FALSE
"Darmanis","Seurat","SC3","true",2500,2500,0.679859052039019,FALSE
"Darmanis","Variance","SC3","true",2500,2500,0.567791516400481,FALSE
"Fletcher","DIFS","Refined Louvain","estimated",0,2918,0.665842738550508,FALSE
