"result_set","dataset","feature_method","clustering_method","k_policy","gate_rule","gate_rule_recorded","seed","n_requested","n_features_realised","gate_n","k_true","k_estimated","k_used_clustering","n_clusters_found","n_cells_total","n_cells_scored","n_cells_dropped","n_cells_unlabelled","difs_stage1_n","difs_stage2_n","difs_ratio_nominal","ARI","FM","Jaccard","Purity","elapsed_sec","source_file","baron_repaired","ARI_before_repair","source_result_set","is_analysis_row"
"ncurve","Baron","DIFS","SC3","true","submitted",TRUE,1,500,500,1940,14,66,14,14,8569,8569,0,0,1700,2460,"2:1",0.648615103150262,0.722781227889056,0.539564601298228,0.920294083323608,4100.541,"Baron_DIFS_SC3_n0500_k-true_g-submitted_seed-1.rds",TRUE,0.563604136831586,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","estimated","submitted",TRUE,1,750,750,1940,14,66,66,66,8569,8569,0,0,1800,6059,"2:3",0.19174243527687,0.353908874671545,0.129882260961472,0.959738592601237,7399.153,"Baron_DIFS_SC3_n0750_k-estimated_g-submitted_seed-1.rds",TRUE,0.172522391588205,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","true","submitted",TRUE,1,750,750,1940,14,66,14,14,8569,8569,0,0,1700,2460,"2:1",0.570364753553912,0.661825292988156,0.458200968906939,0.924145174466099,4386.556,"Baron_DIFS_SC3_n0750_k-true_g-submitted_seed-1.rds",TRUE,0.55683818999579,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","estimated","submitted",TRUE,1,1000,1000,1940,14,66,66,66,8569,8569,0,0,1800,6059,"2:3",0.195206197102766,0.358818880310179,0.132035796883521,0.970008168981211,7201.282,"Baron_DIFS_SC3_n1000_k-estimated_g-submitted_seed-1.rds",TRUE,0.188971595205566,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","true","submitted",TRUE,1,1000,1000,1940,14,66,14,14,8569,8569,0,0,1700,2460,"2:1",0.575222094955826,0.665660339401017,0.463052685425519,0.925312171782005,4025.931,"Baron_DIFS_SC3_n1000_k-true_g-submitted_seed-1.rds",TRUE,0.546755201341046,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","estimated","submitted",TRUE,1,1500,1500,1940,14,66,66,66,8569,8569,0,0,1800,6059,"1:2",0.191253833930551,0.354777262608795,0.129180610012812,0.967674174349399,7126.368,"Baron_DIFS_SC3_n1500_k-estimated_g-submitted_seed-1.rds",TRUE,0.204266382610368,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","true","submitted",TRUE,1,1500,1500,1940,14,66,14,14,8569,8569,0,0,1700,2460,"1:1",0.574202626659121,0.665077429056167,0.461891384414152,0.924845372855642,4038.306,"Baron_DIFS_SC3_n1500_k-true_g-submitted_seed-1.rds",TRUE,0.555868054255656,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","estimated","submitted",TRUE,1,2500,2500,1940,14,66,66,66,8569,8569,0,0,1800,6059,"1:1",0.204250578226668,0.366343044169679,0.139026322085965,0.963006185085774,10249.872,"Baron_DIFS_SC3_n2500_k-estimated_g-submitted_seed-1.rds",TRUE,0.223030876892621,"baronfix",TRUE
"ncurve","Baron","DIFS","SC3","true","submitted",TRUE,1,2500,2500,1940,14,66,14,14,8569,8569,0,0,1700,2460,"1:1",0.563000810893395,0.656483954453149,0.450587729300712,0.925195472050414,5089.254,"Baron_DIFS_SC3_n2500_k-true_g-submitted_seed-1.rds",TRUE,0.539592001399071,"baronfix",TRUE
"ncurve","Baron","FEAST","Refined Louvain","estimated","submitted",TRUE,1,0,1940,1940,14,66,66,40,8569,8569,0,NA,NA,NA,NA,0.266286357316538,0.425336902180133,0.185475391503496,0.961138989380324,178.439,"Baron_FEAST_Refined Louvain_n0000_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
