"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Baron","FEAST","SC3","true",2500,2500,0.906873614190687,TRUE
"Baron","GateOnly","SC3","true",2500,1940,0.924962072587233,TRUE
"Baron","Seurat","SC3","true",2500,2500,0.904656319290466,TRUE
"Baron","Variance","SC3","true",2500,2500,0.925778970708367,TRUE
"Darmanis","DIFS","Refined Louvain","estimated",0,2346,0.849785407725322,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",0,2346,0.830472103004292,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",0,2346,0.860515021459227,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",0,2346,0.809012875536481,FALSE
"Darmanis","Variance","Refined Louvain","estimated",0,2346,0.862660944206009,FALSE
"Darmanis","DIFS","SC3","estimated",0,2346,0.851931330472103,FALSE
"Darmanis","FEAST","SC3","estimated",0,2346,0.841201716738197,FALSE
"Darmanis","GateOnly","SC3","estimated",0,2346,0.851931330472103,FALSE
"Darmanis","Seurat","SC3","estimated",0,2346,0.828326180257511,FALSE
"Darmanis","Variance","SC3","estimated",0,2346,0.851931330472103,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",100,100,0.836909871244635,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",100,100,0.667381974248927,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",100,100,0.78755364806867,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",100,100,0.791845493562232,FALSE
"Darmanis","Variance","Refined Louvain","estimated",100,100,0.847639484978541,FALSE
"Darmanis","DIFS","SC3","estimated",100,100,0.849785407725322,FALSE
"Darmanis","FEAST","SC3","estimated",100,100,0.680257510729614,FALSE
"Darmanis","GateOnly","SC3","estimated",100,100,0.772532188841202,FALSE
"Darmanis","Seurat","SC3","estimated",100,100,0.804721030042919,FALSE
"Darmanis","Variance","SC3","estimated",100,100,0.834763948497854,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",200,200,0.866952789699571,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",200,200,0.8068669527897,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",200,200,0.832618025751073,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",200,200,0.813304721030043,FALSE
"Darmanis","Variance","Refined Louvain","estimated",200,200,0.847639484978541,FALSE
"Darmanis","DIFS","SC3","estimated",200,200,0.841201716738197,FALSE
"Darmanis","FEAST","SC3","estimated",200,200,0.796137339055794,FALSE
"Darmanis","GateOnly","SC3","estimated",200,200,0.809012875536481,FALSE
"Darmanis","Seurat","SC3","estimated",200,200,0.8068669527897,FALSE
"Darmanis","Variance","SC3","estimated",200,200,0.873390557939914,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",300,300,0.847639484978541,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",300,300,0.839055793991416,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",300,300,0.836909871244635,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",300,300,0.84549356223176,FALSE
"Darmanis","Variance","Refined Louvain","estimated",300,300,0.84549356223176,FALSE
"Darmanis","DIFS","SC3","estimated",300,300,0.862660944206009,FALSE
"Darmanis","FEAST","SC3","estimated",300,300,0.834763948497854,FALSE
"Darmanis","GateOnly","SC3","estimated",300,300,0.824034334763948,FALSE
"Darmanis","Seurat","SC3","estimated",300,300,0.834763948497854,FALSE
"Darmanis","Variance","SC3","estimated",300,300,0.821888412017167,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",500,500,0.879828326180258,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",500,500,0.843347639484979,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",500,500,0.843347639484979,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",500,500,0.847639484978541,FALSE
"Darmanis","Variance","Refined Louvain","estimated",500,500,0.849785407725322,FALSE
"Darmanis","DIFS","SC3","estimated",500,500,0.873390557939914,FALSE
"Darmanis","FEAST","SC3","estimated",500,500,0.862660944206009,FALSE
"Darmanis","GateOnly","SC3","estimated",500,500,0.836909871244635,FALSE
"Darmanis","Seurat","SC3","estimated",500,500,0.8068669527897,FALSE
"Darmanis","Variance","SC3","estimated",500,500,0.851931330472103,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",750,750,0.871244635193133,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",750,750,0.830472103004292,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",750,750,0.860515021459227,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",750,750,0.832618025751073,FALSE
"Darmanis","Variance","Refined Louvain","estimated",750,750,0.824034334763948,FALSE
"Darmanis","DIFS","SC3","estimated",750,750,0.877682403433476,FALSE
"Darmanis","FEAST","SC3","estimated",750,750,0.858369098712446,FALSE
"Darmanis","GateOnly","SC3","estimated",750,750,0.828326180257511,FALSE
"Darmanis","Seurat","SC3","estimated",750,750,0.815450643776824,FALSE
"Darmanis","Variance","SC3","estimated",750,750,0.854077253218884,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",1000,1000,0.854077253218884,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",1000,1000,0.832618025751073,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",1000,1000,0.879828326180258,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",1000,1000,0.841201716738197,FALSE
