"data.name","fmethod","clust","n","k_policy","gate_rule","gate_rule_src","seed","ARI","FM","Jaccard","Purity","nfeat","kfound","k_used","stage1_n","stage2_n","ratio","total","dropped","elapsed","set"
"Baron","Seurat","Refined Louvain",300,"estimated","submitted","object",1,0.24887645535932,0.400599734152424,0.175022064367887,0.91866028708134,300,34,66,NA,NA,NA,8569,0,151.484,"ncurve"
"Baron","Seurat","Refined Louvain",300,"true","submitted","object",1,0.561415318664332,0.646730988786146,0.455817885227734,0.889251954720504,300,14,14,NA,NA,NA,8569,0,139.807,"ncurve"
"Baron","Seurat","Refined Louvain",500,"estimated","submitted","object",1,0.236991671013712,0.382952746544483,0.168494275742412,0.906873614190687,500,32,66,NA,NA,NA,8569,0,145.112,"ncurve"
"Baron","Seurat","Refined Louvain",500,"true","submitted","object",1,0.581845982054346,0.662870900464681,0.476489036466875,0.904189520364103,500,14,14,NA,NA,NA,8569,0,137.541,"ncurve"
"Baron","Seurat","Refined Louvain",750,"estimated","submitted","object",1,0.263615016023016,0.418988928599344,0.184654764104476,0.951919710584666,750,34,66,NA,NA,NA,8569,0,145.072,"ncurve"
"Baron","Seurat","Refined Louvain",750,"true","submitted","object",1,0.634416625207295,0.709706867861361,0.525852230035138,0.921577780371105,750,14,14,NA,NA,NA,8569,0,121.734,"ncurve"
"Baron","Seurat","Refined Louvain",1000,"estimated","submitted","object",1,0.266768877732608,0.425504049824624,0.185928385543388,0.968140973275761,1000,33,66,NA,NA,NA,8569,0,144.837,"ncurve"
"Baron","Seurat","Refined Louvain",1000,"true","submitted","object",1,0.588347853255975,0.679293370087849,0.474300396234093,0.950285914342397,1000,14,14,NA,NA,NA,8569,0,119.735,"ncurve"
"Baron","Seurat","Refined Louvain",1500,"estimated","submitted","object",1,0.275171178125036,0.43297415556646,0.19244615761186,0.971525265491889,1500,34,66,NA,NA,NA,8569,0,137.882,"ncurve"
"Baron","Seurat","Refined Louvain",1500,"true","submitted","object",1,0.588414034004075,0.679564723685439,0.474245046025215,0.950752713268759,1500,14,14,NA,NA,NA,8569,0,129.164,"ncurve"
"Baron","Seurat","Refined Louvain",2500,"estimated","submitted","object",1,0.280274325201735,0.438669938170279,0.19605784720833,0.976309954487105,2500,35,66,NA,NA,NA,8569,0,114.398,"ncurve"
"Baron","Seurat","Refined Louvain",2500,"true","submitted","object",1,0.589740570540096,0.682299712859694,0.474678544778349,0.960555490722371,2500,14,14,NA,NA,NA,8569,0,146.124,"ncurve"
"Baron","Seurat","SC3",0,"estimated","submitted","object",1,0.188398343430703,0.351923262052887,0.127101975477693,0.972575563076205,1940,66,66,NA,NA,NA,8569,0,4651.251,"baronfix"
"Baron","Seurat","SC3",0,"true","submitted","object",1,0.58319536521399,0.667896646189078,0.473992716663722,0.906056716069553,1940,14,14,NA,NA,NA,8569,0,1624.293,"baronfix"
"Baron","Seurat","SC3",100,"estimated","submitted","object",1,0.166360674199769,0.318027603710918,0.114230039158859,0.929163262924495,100,66,66,NA,NA,NA,8569,0,2521.227,"baronfix"
"Baron","Seurat","SC3",100,"true","submitted","object",1,0.906509188397328,0.924751611834145,0.859865546196555,0.895553740226397,100,14,14,NA,NA,NA,8569,0,1521.026,"baronfix"
"Baron","Seurat","SC3",200,"estimated","submitted","object",1,0.142585741246401,0.286691410478651,0.0989210232480446,0.877815381024624,200,66,66,NA,NA,NA,8569,0,2209.552,"baronfix"
"Baron","Seurat","SC3",200,"true","submitted","object",1,0.523138447301671,0.615159768649075,0.419430330684017,0.840588166647217,200,14,14,NA,NA,NA,8569,0,1398.702,"baronfix"
"Baron","Seurat","SC3",300,"estimated","submitted","object",1,0.161974978757141,0.309238146208886,0.112407663815461,0.907457112848641,300,66,66,NA,NA,NA,8569,0,2367.708,"baronfix"
"Baron","Seurat","SC3",300,"true","submitted","object",1,0.733072794216296,0.787098314930547,0.63589430098772,0.888668456062551,300,14,14,NA,NA,NA,8569,0,1363.236,"baronfix"
"Baron","Seurat","SC3",500,"estimated","submitted","object",1,0.135253098111801,0.283405241942439,0.0921342755731294,0.91107480452795,500,66,66,NA,NA,NA,8569,0,3612.512,"baronfix"
"Baron","Seurat","SC3",500,"true","submitted","object",1,0.710741816395895,0.770419977553715,0.609272786400919,0.905239817948419,500,14,14,NA,NA,NA,8569,0,1476.373,"baronfix"
"Baron","Seurat","SC3",750,"estimated","submitted","object",1,0.151158001866739,0.310180466906312,0.101068736136418,0.958921694480103,750,66,66,NA,NA,NA,8569,0,2424.456,"baronfix"
"Baron","Seurat","SC3",750,"true","submitted","object",1,0.731453251420254,0.786311262596655,0.633547510228116,0.929513362119267,750,14,14,NA,NA,NA,8569,0,1449.554,"baronfix"
"Baron","Seurat","SC3",1000,"estimated","submitted","object",1,0.154730621172911,0.315023352905786,0.1033768789383,0.963939782938499,1000,66,66,NA,NA,NA,8569,0,2858.708,"baronfix"
"Baron","Seurat","SC3",1000,"true","submitted","object",1,0.633235447844405,0.713778822204704,0.521202668809211,0.950169214610806,1000,14,14,NA,NA,NA,8569,0,2369.365,"baronfix"
"Baron","Seurat","SC3",1500,"estimated","submitted","object",1,0.163332293271062,0.322595951414951,0.109898897442603,0.969191270860077,1500,66,66,NA,NA,NA,8569,0,2911.109,"baronfix"
